Kategorija,ID,Model,Compression,Coverage,Density,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
Politika,116,ChatGPT,23.2632,0.0189,0.0,0.1356,0.0351,0.1017,0.6817
Politika,116,Gemini,27.625,0.0151,0.0,0.1923,0.0,0.1154,0.641
Politika,116,Claude,26.0,0.0075,0.0,0.1887,0.0392,0.1132,0.6912
Politika,117,Ekstraktivna,15.62,0.0496,0.48,0.1351,0.0278,0.1351,0.6552
Politika,117,Apstraktivna,35.5,0.0099,0.1818,1.0,1.0,1.0,1.0
Politika,117,ChatGPT,27.8929,0.0223,0.4286,0.1154,0.04,0.1154,0.6822
Politika,117,Gemini,48.8125,0.0099,0.125,0.2051,0.0,0.1026,0.7086
Politika,117,Claude,39.05,0.0149,0.0,0.2128,0.0,0.1702,0.7149
Politika,118,Ekstraktivna,4.6829,0.1864,0.439,0.2192,0.0,0.137,0.695
Politika,118,Apstraktivna,10.1053,0.0508,0.0,1.0,1.0,1.0,1.0
Politika,118,ChatGPT,9.1429,0.0424,0.0952,0.2264,0.0392,0.1509,0.7243
Politika,118,Gemini,14.7692,0.0593,0.4615,0.2381,0.0,0.2381,0.6953
Politika,118,Claude,17.4545,0.0339,0.0,0.2105,0.0556,0.2105,0.7333
Politika,119,Ekstraktivna,9.125,0.1094,0.35,0.1892,0.0833,0.1622,0.6776
Politika,119,Apstraktivna,14.0385,0.0208,0.0769,1.0,1.0,1.0,1.0
Politika,119,ChatGPT,18.25,0.026,0.1,0.32,0.0,0.2,0.7566
Politika,119,Gemini,28.0769,0.0156,0.1538,0.2927,0.1538,0.2439,0.7209
Politika,119,Claude,33.1818,0.0,0.0,0.0,0.0,0.0,0.6427
Politika,120,Ekstraktivna,8.8182,0.0962,0.4091,0.2597,0.08,0.1818,0.6689
Politika,120,Apstraktivna,16.1667,0.0529,0.3333,1.0,1.0,1.0,1.0
Politika,120,ChatGPT,21.5556,0.0337,0.0,0.1702,0.0,0.1277,0.682
Politika,120,Gemini,38.8,0.0192,0.4,0.2162,0.0571,0.2162,0.693
Politika,120,Claude,32.3333,0.0144,0.0,0.1,0.0,0.1,0.6558
Politika,121,Ekstraktivna,8.9583,0.107,0.4167,0.1299,0.0,0.1299,0.6628
Politika,121,Apstraktivna,23.8889,0.0206,0.2222,1.0,1.0,1.0,1.0
Politika,121,ChatGPT,22.6316,0.0247,0.1053,0.15,0.0,0.15,0.6897
Politika,121,Gemini,43.0,0.0123,0.2,0.1333,0.0,0.1333,0.6669
Politika,121,Claude,30.7143,0.0123,0.1429,0.2105,0.0,0.1579,0.682
Politika,122,Ekstraktivna,7.0435,0.1186,0.2174,0.3014,0.1127,0.274,0.719
Politika,122,Apstraktivna,16.2,0.0339,0.1,1.0,1.0,1.0,1.0
Politika,122,ChatGPT,17.0526,0.0226,0.0,0.1463,0.0,0.0976,0.6566
Politika,122,Gemini,29.4545,0.0282,0.0,0.1765,0.0625,0.1765,0.6536
Politika,122,Claude,32.4,0.0056,0.0,0.0,0.0,0.0,0.6195
Politika,123,Ekstraktivna,4.5962,0.1457,0.2692,0.2162,0.0556,0.2162,0.689
Politika,123,Apstraktivna,14.9375,0.0265,0.125,1.0,1.0,1.0,1.0
